SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
126091	6304550	0.013	-0.013	0.0273	-0.0273
126092	6304600	0.014	-0.014	0.0294	-0.0294
126093	6304650	0.013	-0.013	0.0273	-0.0273
126094	6304700	0.013	-0.012	0.0273	-0.0252
126095	6304750	0.013	-0.013	0.0273	-0.0273
126096	6304800	0.013	-0.013	0.0273	-0.0273
126097	6304850	0.011	-0.014	0.0231	-0.0294
126098	6304900	0.013	-0.013	0.0273	-0.0273
126099	6304950	0.012	-0.011	0.0252	-0.0231
126100	6305000	0.013	-0.012	0.0273	-0.0252
126101	6305050	0.014	-0.01	0.0294	-0.021
126102	6305100	0.013	-0.012	0.0273	-0.0252
126103	6305150	0.014	-0.014	0.0294	-0.0294
126104	6305200	0.016	-0.015	0.0336	-0.0315
126105	6305250	0.016	-0.014	0.0336	-0.0294
126106	6305300	0.015	-0.014	0.0315	-0.0294
126107	6305350	0.014	-0.014	0.0294	-0.0294
126108	6305400	0.012	-0.016	0.0252	-0.0336
126109	6305450	0.012	-0.015	0.0252	-0.0315
126110	6305500	0.014	-0.014	0.0294	-0.0294
126111	6305550	0.015	-0.013	0.0315	-0.0273
126112	6305600	0.015	-0.012	0.0315	-0.0252
126113	6305650	0.017	-0.014	0.0357	-0.0294
126114	6305700	0.016	-0.014	0.0336	-0.0294
126115	6305750	0.016	-0.013	0.0336	-0.0273
126116	6305800	0.015	-0.012	0.0315	-0.0252
126117	6305850	0.015	-0.011	0.0315	-0.0231
126118	6305900	0.015	-0.014	0.0315	-0.0294
126119	6305950	0.015	-0.015	0.0315	-0.0315
126120	6306000	0.014	-0.013	0.0294	-0.0273
126121	6306050	0.013	-0.012	0.0273	-0.0252
126122	6306100	0.014	-0.012	0.0294	-0.0252
126123	6306150	0.014	-0.013	0.0294	-0.0273
126124	6306200	0.016	-0.012	0.0336	-0.0252
126125	6306250	0.016	-0.012	0.0336	-0.0252
126126	6306300	0.013	-0.011	0.0273	-0.0231
126127	6306350	0.013	-0.012	0.0273	-0.0252
126128	6306400	0.014	-0.012	0.0294	-0.0252
126129	6306450	0.015	-0.012	0.0315	-0.0252
126130	6306500	0.015	-0.013	0.0315	-0.0273
126131	6306550	0.014	-0.013	0.0294	-0.0273
126132	6306600	0.013	-0.015	0.0273	-0.0315
126133	6306650	0.015	-0.014	0.0315	-0.0294
126134	6306700	0.013	-0.013	0.0273	-0.0273
126135	6306750	0.014	-0.012	0.0294	-0.0252
126136	6306800	0.014	-0.014	0.0294	-0.0294
126137	6306850	0.016	-0.014	0.0336	-0.0294
126138	6306900	0.015	-0.012	0.0315	-0.0252
126139	6306950	0.014	-0.012	0.0294	-0.0252
126140	6307000	0.014	-0.012	0.0294	-0.0252
126141	6307050	0.013	-0.012	0.0273	-0.0252
126142	6307100	0.015	-0.012	0.0315	-0.0252
126143	6307150	0.015	-0.012	0.0315	-0.0252
126144	6307200	0.014	-0.012	0.0294	-0.0252
126145	6307250	0.013	-0.012	0.0273	-0.0252
126146	6307300	0.013	-0.013	0.0273	-0.0273
126147	6307350	0.015	-0.012	0.0315	-0.0252
126148	6307400	0.016	-0.013	0.0336	-0.0273
126149	6307450	0.015	-0.013	0.0315	-0.0273
126150	6307500	0.013	-0.012	0.0273	-0.0252
126151	6307550	0.013	-0.013	0.0273	-0.0273
126152	6307600	0.013	-0.013	0.0273	-0.0273
126153	6307650	0.014	-0.012	0.0294	-0.0252
126154	6307700	0.014	-0.012	0.0294	-0.0252
126155	6307750	0.013	-0.012	0.0273	-0.0252
126156	6307800	0.013	-0.012	0.0273	-0.0252
126157	6307850	0.013	-0.012	0.0273	-0.0252
126158	6307900	0.013	-0.013	0.0273	-0.0273
126159	6307950	0.013	-0.014	0.0273	-0.0294
126160	6308000	0.014	-0.012	0.0294	-0.0252
126161	6308050	0.014	-0.011	0.0294	-0.0231
126162	6308100	0.015	-0.012	0.0315	-0.0252
126163	6308150	0.014	-0.012	0.0294	-0.0252
126164	6308200	0.014	-0.011	0.0294	-0.0231
126165	6308250	0.014	-0.012	0.0294	-0.0252
126166	6308300	0.014	-0.012	0.0294	-0.0252
126167	6308350	0.014	-0.014	0.0294	-0.0294
126168	6308400	0.014	-0.014	0.0294	-0.0294
126169	6308450	0.013	-0.014	0.0273	-0.0294
126170	6308500	0.012	-0.015	0.0252	-0.0315
126171	6308550	0.013	-0.015	0.0273	-0.0315
126172	6308600	0.014	-0.013	0.0294	-0.0273
126173	6308650	0.014	-0.013	0.0294	-0.0273
126174	6308700	0.013	-0.012	0.0273	-0.0252
126175	6308750	0.013	-0.014	0.0273	-0.0294
126176	6308800	0.015	-0.012	0.0315	-0.0252
126177	6308850	0.015	-0.013	0.0315	-0.0273
126178	6308900	0.015	-0.014	0.0315	-0.0294
126179	6308950	0.015	-0.014	0.0315	-0.0294
126180	6309000	0.015	-0.013	0.0315	-0.0273
126181	6309050	0.015	-0.012	0.0315	-0.0252
126182	6309100	0.015	-0.012	0.0315	-0.0252
126183	6309150	0.014	-0.012	0.0294	-0.0252
126184	6309200	0.014	-0.012	0.0294	-0.0252
126185	6309250	0.013	-0.013	0.0273	-0.0273
126186	6309300	0.013	-0.013	0.0273	-0.0273
126187	6309350	0.014	-0.014	0.0294	-0.0294
126188	6309400	0.014	-0.015	0.0294	-0.0315
126189	6309450	0.013	-0.015	0.0273	-0.0315
126190	6309500	0.015	-0.014	0.0315	-0.0294
126191	6309550	0.014	-0.013	0.0294	-0.0273
